filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
gns3-gui-1.5.0/gns3/dialogs/new_server_dialog.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',64,[64],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
gns3-gui-1.5.0/gns3/dialogs/vm_with_images_wizard.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,84,[84],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gns3-gui-1.5.0/gns3/gns3_vm.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,24,[24],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
gns3-gui-1.5.0/gns3/gns3_vm.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,79,[79],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/graphics_view.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,24,"[24, 25]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
gns3-gui-1.5.0/gns3/graphics_view.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,113,[113],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
gns3-gui-1.5.0/gns3/graphics_view.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",675,[675],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
gns3-gui-1.5.0/gns3/http_client.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,313,[313],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
gns3-gui-1.5.0/gns3/link.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,86,[86],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gns3-gui-1.5.0/gns3/link.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,98,[98],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gns3-gui-1.5.0/gns3/main.py,start_process_with_no_shell,B606,LOW,MEDIUM,Starting a process without a shell.,28,[28],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html
gns3-gui-1.5.0/gns3/main_window.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,30,"[30, 31]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
gns3-gui-1.5.0/gns3/main_window.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,406,[406],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/modules/builtin/__init__.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,110,[110],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
gns3-gui-1.5.0/gns3/modules/dynamips/__init__.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",106,[106],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
gns3-gui-1.5.0/gns3/modules/dynamips/__init__.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,378,[378],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
gns3-gui-1.5.0/gns3/modules/dynamips/utils/decompress_ios.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,99,[99],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
gns3-gui-1.5.0/gns3/modules/iou/__init__.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,313,[313],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
gns3-gui-1.5.0/gns3/modules/vmware/__init__.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,25,"[25, 26]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
gns3-gui-1.5.0/gns3/modules/vmware/__init__.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,96,[96],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
gns3-gui-1.5.0/gns3/modules/vmware/__init__.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,96,[96],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/modules/vmware/__init__.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,139,[139],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/modules/vpcs/__init__.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,23,[23],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
gns3-gui-1.5.0/gns3/modules/vpcs/__init__.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,212,[212],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/modules/vpcs/__init__.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,257,[257],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/node.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,404,[404],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gns3-gui-1.5.0/gns3/nodes_view.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,22,[22],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
gns3-gui-1.5.0/gns3/pages/server_preferences_page.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,263,[263],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gns3-gui-1.5.0/gns3/ports/port.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,26,[26],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
gns3-gui-1.5.0/gns3/ports/port.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,"[64, 65]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gns3-gui-1.5.0/gns3/ports/port.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,572,[572],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/ports/port.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,573,[573],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/ports/port.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,579,[579],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/ports/port.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,602,[602],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
gns3-gui-1.5.0/gns3/project.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,81,[81],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gns3-gui-1.5.0/gns3/project.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,148,[148],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
