filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
onegov.form-0.16.0/onegov/form/collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,86,"[86, 87]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,145,"[145, 146, 147]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,149,[149],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,192,"[192, 193]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,218,"[218, 219]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/core.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,463,"[463, 464]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/models.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",26,[26],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
onegov.form-0.16.0/onegov/form/parser/core.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,405,[405],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
onegov.form-0.16.0/onegov/form/parser/core.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,447,[447],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/parser/core.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,448,[448],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/tests/test_collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,23,[23],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/tests/test_collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,34,[34],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/tests/test_collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,"[35, 36]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/tests/test_collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,[39],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/tests/test_collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,40,"[40, 41]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
onegov.form-0.16.0/onegov/form/tests/test_collection.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,48,[48],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
