filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
indico-1.2.2/indico/MaKaC/webinterface/pages/errors.py,25,"standard import ""from xml.sax.saxutils import quoteattr"" should be placed before ""from flask import session, request""",Category.C,wrong-import-order,"Using quoteattr to parse untrusted XML data is known to be vulnerable to XML attacks. Replace quoteattr with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
indico-1.2.2/indico/MaKaC/plugins/Collaboration/RecordingManager/micala.py,229,Line too long (165/100),Category.C,line-too-long,Possible SQL injection vector through string-based query construction.,LOW,MEDIUM
indico-1.2.2/indico/MaKaC/plugins/Collaboration/RecordingManager/micala.py,254,Line too long (114/100),Category.C,line-too-long,Possible SQL injection vector through string-based query construction.,MEDIUM,MEDIUM
indico-1.2.2/indico/MaKaC/plugins/Collaboration/RecordingManager/micala.py,326,Line too long (138/100),Category.C,line-too-long,Possible SQL injection vector through string-based query construction.,LOW,MEDIUM
indico-1.2.2/indico/tests/python/unit/redis.py,43,Attribute '_redis_process' defined outside __init__,Category.W,attribute-defined-outside-init,subprocess call - check for execution of untrusted input.,HIGH,LOW
indico-1.2.2/indico/MaKaC/webinterface/pages/conf_calendar.py,63,"Exactly one space required after comma
            r = random.randint(130,255)
                                  ^",Category.C,bad-whitespace,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
indico-1.2.2/indico/MaKaC/webinterface/pages/conf_calendar.py,64,"Exactly one space required after comma
            g = random.randint(130,255)
                                  ^",Category.C,bad-whitespace,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
indico-1.2.2/indico/MaKaC/webinterface/pages/conf_calendar.py,65,"Exactly one space required after comma
            b = random.randint(130,255)
                                  ^",Category.C,bad-whitespace,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
indico-1.2.2/indico/MaKaC/webinterface/pages/conf_calendar.py,63,"Variable name ""r"" doesn't conform to snake_case naming style",Category.C,invalid-name,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
indico-1.2.2/indico/MaKaC/webinterface/pages/conf_calendar.py,64,"Variable name ""g"" doesn't conform to snake_case naming style",Category.C,invalid-name,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
indico-1.2.2/indico/MaKaC/webinterface/pages/conf_calendar.py,65,"Variable name ""b"" doesn't conform to snake_case naming style",Category.C,invalid-name,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
indico-1.2.2/indico/ext/livesync/cern_search/test/unit/system_test.py,66,"Variable name ""xmlDoc"" doesn't conform to snake_case naming style",Category.C,invalid-name,Using lxml.etree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree.parse with its defusedxml equivalent function.,HIGH,MEDIUM
indico-1.2.2/indico/ext/livesync/cern_search/test/unit/system_test.py,34,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
indico-1.2.2/indico/MaKaC/plugins/EPayment/skipjack/webinterface/rh/__init__.py,31,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
indico-1.2.2/indico/MaKaC/services/implementation/base.py,235,Line too long (114/100),Category.C,line-too-long,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
