filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
sequoia-client-sdk-1.1.0/sequoia/http.py,HIGH,LOW,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,145,[145],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random,B311,blacklist
sequoia-client-sdk-1.1.0/tests/client_integration_test.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,176,[176],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sequoia-client-sdk-1.1.0/tests/client_integration_test.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,196,[196],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sequoia-client-sdk-1.1.0/tests/client_integration_test.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,204,[204],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sequoia-client-sdk-1.1.0/tests/client_integration_test.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,210,[210],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sequoia-client-sdk-1.1.0/tests/client_test.py,MEDIUM,LOW,Possible hardcoded password: 'blablabla',29,"[29, 30, 31, 32]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
sequoia-client-sdk-1.1.0/tests/client_test.py,MEDIUM,LOW,Possible hardcoded password: 'blablabla',37,"[37, 38, 39, 40]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
sequoia-client-sdk-1.1.0/tests/client_test.py,MEDIUM,LOW,Possible hardcoded password: 'blablabla',112,"[112, 113, 114, 115]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
sequoia-client-sdk-1.1.0/tests/client_test.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,317,[317],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sequoia-client-sdk-1.1.0/tests/client_test.py,MEDIUM,LOW,Possible hardcoded password: 'blablabla',340,"[340, 341, 342]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
sequoia-client-sdk-1.1.0/tests/client_test.py,MEDIUM,LOW,Possible hardcoded password: 'blablabla',354,"[354, 355, 356, 357]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
sequoia-client-sdk-1.1.0/tests/client_test.py,MEDIUM,LOW,Possible hardcoded password: 'blablabla',406,"[406, 407, 408]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
sequoia-client-sdk-1.1.0/tests/client_test.py,MEDIUM,LOW,Possible hardcoded password: 'blablabla',424,"[424, 425, 426, 427]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
sequoia-client-sdk-1.1.0/tests/client_test.py,MEDIUM,LOW,Possible hardcoded password: 'blablabla',443,"[443, 444, 445, 446]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
sequoia-client-sdk-1.1.0/tests/client_test.py,MEDIUM,LOW,Possible hardcoded password: 'blablabla',456,"[456, 457, 458, 459]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html,B106,hardcoded_password_funcarg
sequoia-client-sdk-1.1.0/tests/common.py,HIGH,MEDIUM,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,23,[23],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html,B506,yaml_load
sequoia-client-sdk-1.1.0/tests/criteria_test.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,13,[13],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sequoia-client-sdk-1.1.0/tests/criteria_test.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,14,[14],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sequoia-client-sdk-1.1.0/tests/criteria_test.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,15,[15],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
sequoia-client-sdk-1.1.0/tests/criteria_test.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,[24],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
