filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
pyplanet-0.6.1/pyplanet/conf/backends/yaml.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,23,[23],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
pyplanet-0.6.1/pyplanet/conf/project_template/settings/__init__.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",15,[15],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyplanet-0.6.1/pyplanet/core/checks/messages.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,12,[12],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyplanet-0.6.1/pyplanet/core/db/registry.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",68,[68],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyplanet-0.6.1/pyplanet/core/management/commands/upgrade.py,blacklist,B322,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",41,"[41, 42]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input
pyplanet-0.6.1/pyplanet/core/management/templates.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",82,[82],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyplanet-0.6.1/pyplanet/core/management/templates.py,jinja2_autoescape_false,B701,HIGH,HIGH,Using jinja2 templates with autoescape=False is dangerous and can lead to XSS. Use autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.,87,[87],https://bandit.readthedocs.io/en/latest/plugins/b701_jinja2_autoescape_false.html
pyplanet-0.6.1/pyplanet/god/process.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",135,[135],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyplanet-0.6.1/pyplanet/utils/log.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",99,[99],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyplanet-0.6.1/pyplanet/utils/log.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",105,[105],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
