filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
mercurial-4.1.2/setup.py,12,"Constant name ""printf"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
mercurial-4.1.2/setup.py,24,"Constant name ""sha"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
mercurial-4.1.2/setup.py,61,"Multiple imports on one line (os, stat, subprocess, time)",Category.C,multiple-imports,Consider possible security implications associated with subprocess module.,HIGH,LOW
mercurial-4.1.2/setup.py,61,"Import ""import os, stat, subprocess, time"" should be placed at the top of the module",Category.C,wrong-import-position,Consider possible security implications associated with subprocess module.,HIGH,LOW
mercurial-4.1.2/setup.py,61,"Import ""import os, stat, subprocess, time"" should be placed at the top of the module",Category.C,wrong-import-position,Consider possible security implications associated with subprocess module.,HIGH,LOW
mercurial-4.1.2/setup.py,61,"Import ""import os, stat, subprocess, time"" should be placed at the top of the module",Category.C,wrong-import-position,Consider possible security implications associated with subprocess module.,HIGH,LOW
mercurial-4.1.2/setup.py,61,"Import ""import os, stat, subprocess, time"" should be placed at the top of the module",Category.C,wrong-import-position,Consider possible security implications associated with subprocess module.,HIGH,LOW
mercurial-4.1.2/setup.py,143,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
mercurial-4.1.2/setup.py,12,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
mercurial-4.1.2/setup.py,140,Using deprecated method popen3(),Category.W,deprecated-method,"Starting a process with a shell, possible injection detected, security issue.",HIGH,HIGH
mercurial-4.1.2/mercurial/tags.py,97,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
mercurial-4.1.2/mercurial/tags.py,301,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
mercurial-4.1.2/mercurial/subrepo.py,1118,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
mercurial-4.1.2/mercurial/subrepo.py,1418,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
mercurial-4.1.2/mercurial/similar.py,31,"Variable name ""h"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
mercurial-4.1.2/mercurial/similar.py,38,"Variable name ""h"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
mercurial-4.1.2/hgext/convert/git.py,473,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
mercurial-4.1.2/hgext/fsmonitor/pywatchman/__init__.py,825,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
mercurial-4.1.2/contrib/bdiff-torture.py,72,"Variable name ""b"" doesn't conform to snake_case naming style",Category.C,invalid-name,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
mercurial-4.1.2/contrib/bdiff-torture.py,56,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
mercurial-4.1.2/contrib/synthrepo.py,331,"Variable name ""w"" doesn't conform to snake_case naming style",Category.C,invalid-name,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
mercurial-4.1.2/hgext/largefiles/lfcommands.py,233,"Variable name ""m"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",HIGH,MEDIUM
