filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
gevent-1.1.2/doc/generate_rst.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,82,[82],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/doc/mysphinxext.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,55,[55],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/examples/concurrent_download.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,25,[25],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
gevent-1.1.2/examples/echoserver.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,33,[33],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
gevent-1.1.2/examples/psycopg2_pool.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",66,[66],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
gevent-1.1.2/examples/webchat/chat/views.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,39,[39],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/examples/webchat/settings.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,9,[9],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
gevent-1.1.2/examples/webchat/settings.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',11,[11],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
gevent-1.1.2/examples/webchat/settings.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'nv8(yg*&1-lon-8i-3jcs0y!01+rem*54051^5xt#^tzujdj!c',20,[20],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
gevent-1.1.2/examples/webproxy.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,[57],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/examples/webproxy.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,72,[72],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
gevent-1.1.2/examples/wsgiserver_ssl.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,17,[17],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
gevent-1.1.2/gevent/_fileobjectposix.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,236,[236],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/gevent/_semaphore.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,113,[113],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/gevent/_semaphore.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,167,[167],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/gevent/_semaphore.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,234,[234],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/gevent/_socket2.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,472,[472],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
gevent-1.1.2/gevent/_socket3.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,197,[197],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/gevent/_socket3.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,219,[219],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/gevent/_socket3.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",712,[712],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
gevent-1.1.2/gevent/_socket3.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,819,[819],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/gevent/_socket3.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",983,[983],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
gevent-1.1.2/gevent/_socketcommon.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,304,[304],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
gevent-1.1.2/gevent/_tblib.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,184,[184],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
gevent-1.1.2/gevent/_tblib.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,256,[256],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
gevent-1.1.2/gevent/_tblib.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,258,[258],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
gevent-1.1.2/gevent/baseserver.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",307,[307],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
gevent-1.1.2/gevent/event.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,177,[177],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/gevent/fileobject.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,209,[209],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
gevent-1.1.2/gevent/greenlet.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,[60],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
