filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
pyDAL-15.02/pydal/_compat.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with cPickle module.,8,[8],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
pyDAL-15.02/pydal/_compat.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,16,[16],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
pyDAL-15.02/pydal/_compat.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",19,[19],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
pyDAL-15.02/pydal/adapters/base.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,580,"[580, 581]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/base.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,585,"[585, 586]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/base.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,704,[704],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/base.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,969,[969],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/base.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,994,[994],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/base.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,1186,"[1186, 1187]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/base.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,1246,"[1246, 1247]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/base.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,1248,[1248],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/base.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",1429,[1429],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyDAL-15.02/pydal/adapters/couchdb.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",105,[105],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyDAL-15.02/pydal/adapters/couchdb.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,159,[159],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyDAL-15.02/pydal/adapters/cubrid.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',35,[35],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyDAL-15.02/pydal/adapters/db2.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,49,[49],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/db2.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,99,[99],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/firebird.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,75,[75],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/firebird.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,78,[78],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/firebird.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',104,[104],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyDAL-15.02/pydal/adapters/firebird.py,hardcoded_sql_expressions,B608,MEDIUM,MEDIUM,Possible SQL injection vector through string-based query construction.,134,[134],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/firebird.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',165,[165],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyDAL-15.02/pydal/adapters/informix.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,56,[56],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/informix.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',99,[99],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyDAL-15.02/pydal/adapters/informix.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,128,"[128, 129]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/ingres.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,57,[57],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/mssql.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,82,[82],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/mssql.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '',132,[132],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
pyDAL-15.02/pydal/adapters/mssql.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,261,[261],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/mssql.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,270,[270],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/mssql.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,271,[271],https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
pyDAL-15.02/pydal/adapters/mssql.py,hardcoded_sql_expressions,B608,MEDIUM,LOW,Possible SQL injection vector through string-based query construction.,325,"[325, 326]",https://bandit.readthedocs.io/en/latest/plugins/b608_hardcoded_sql_expressions.html
