filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
waitress-0.9.0/waitress/adjustments.py,MEDIUM,MEDIUM,Possible binding to all interfaces.,80,"[80, 81, 82]",https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html,B104,hardcoded_bind_all_interfaces
waitress-0.9.0/waitress/compat.py,HIGH,MEDIUM,Use of exec detected.,92,[92],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html,B102,exec_used
waitress-0.9.0/waitress/server.py,MEDIUM,MEDIUM,Possible binding to all interfaces.,107,[107],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html,B104,hardcoded_bind_all_interfaces
waitress-0.9.0/waitress/tests/fixtureapps/getline.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,12,[12],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
waitress-0.9.0/waitress/tests/test_adjustments.py,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,74,[74],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html,B108,hardcoded_tmp_directory
waitress-0.9.0/waitress/tests/test_adjustments.py,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,98,[98],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html,B108,hardcoded_tmp_directory
waitress-0.9.0/waitress/tests/test_functional.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,7,[7],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
waitress-0.9.0/waitress/tests/test_functional.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,121,[121],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
waitress-0.9.0/waitress/tests/test_functional.py,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,1392,[1392],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html,B108,hardcoded_tmp_directory
waitress-0.9.0/waitress/tests/test_functional.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1504,[1504],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
waitress-0.9.0/waitress/tests/test_server.py,MEDIUM,MEDIUM,Possible binding to all interfaces.,72,[72],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html,B104,hardcoded_bind_all_interfaces
waitress-0.9.0/waitress/tests/test_server.py,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,202,"[202, 203]",https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html,B108,hardcoded_tmp_directory
