filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Pyro-3.14/Pyro/configuration.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with HIGHEST_PROTOCOL module.,20,[20],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
Pyro-3.14/Pyro/configuration.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,123,[123],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
Pyro-3.14/Pyro/core.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with PicklingError module.,13,[13],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
Pyro-3.14/Pyro/core.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",128,[128],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pyro-3.14/Pyro/core.py,blacklist,B302,MEDIUM,HIGH,Deserialization with the marshal module is possibly dangerous.,152,[152],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b302-marshal
Pyro-3.14/Pyro/core.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,169,"[169, 170]",https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
Pyro-3.14/Pyro/core.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,187,[187],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
Pyro-3.14/Pyro/core.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,191,[191],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
Pyro-3.14/Pyro/core.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",203,[203],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pyro-3.14/Pyro/ext/BasicNTService.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",135,[135],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pyro-3.14/Pyro/ext/ServiceTest.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,[26],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro-3.14/Pyro/ext/ServiceTest.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,32,[32],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro-3.14/Pyro/ext/ServiceTest.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,33,[33],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro-3.14/Pyro/ext/ServiceTest.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,34,[34],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro-3.14/Pyro/ext/ServiceTest.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,40,[40],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro-3.14/Pyro/ext/ServiceTest.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,41,[41],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro-3.14/Pyro/ext/ServiceTest.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,75,[75],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Pyro-3.14/Pyro/ext/daemonizer.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,50,[50],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
Pyro-3.14/Pyro/ext/remote.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",99,[99],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pyro-3.14/Pyro/ext/remote.py,start_process_with_a_shell,B605,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",111,[111],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
Pyro-3.14/Pyro/ext/remote.py,blacklist,B307,MEDIUM,HIGH,Use of possibly insecure function - consider using safer ast.literal_eval.,239,[239],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b307-eval
Pyro-3.14/Pyro/ext/remote.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",242,[242],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pyro-3.14/Pyro/ext/remote.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",495,[495],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Pyro-3.14/Pyro/naming.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",337,[337],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
