filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
luigi-2.1.0/test/task_test.py,78,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
luigi-2.1.0/test/event_callbacks_test.py,164,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
luigi-2.1.0/luigi/retcodes.py,74,Access to a protected member _ORDERED_STATUSES of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
luigi-2.1.0/test/s3_test.py,142,Access to a protected member _config_paths of a client class,Category.W,protected-access,Use of insecure and deprecated function (mktemp).,HIGH,MEDIUM
luigi-2.1.0/test/lock_test.py,34,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
luigi-2.1.0/test/lock_test.py,34,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,Starting a process with a partial executable path,HIGH,LOW
luigi-2.1.0/test/lock_test.py,53,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
luigi-2.1.0/test/lock_test.py,53,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,Starting a process with a partial executable path,HIGH,LOW
luigi-2.1.0/luigi/six.py,677,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
luigi-2.1.0/examples/wordcount.py,37,Instance of 'DateParameter' has no 'strftime' member,Category.E,no-member,Probable insecure usage of temp file/directory.,MEDIUM,MEDIUM
luigi-2.1.0/luigi/worker.py,372,Line too long (106/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
luigi-2.1.0/luigi/worker.py,373,Line too long (105/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
luigi-2.1.0/luigi/db_task_history.py,147,Line too long (128/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
luigi-2.1.0/luigi/contrib/hadoop_jar.py,49,Line too long (114/100),Category.C,line-too-long,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
luigi-2.1.0/luigi/contrib/hadoop_jar.py,49,"Variable name ""y"" doesn't conform to snake_case naming style",Category.C,invalid-name,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
luigi-2.1.0/test/recursion_test.py,31,Instance of 'DateParameter' has no 'strftime' member,Category.E,no-member,Probable insecure usage of temp file/directory.,MEDIUM,MEDIUM
luigi-2.1.0/test/decorator_test.py,322,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",HIGH,MEDIUM
luigi-2.1.0/test/decorator_test.py,293,Instance of 'DateParameter' has no 'strftime' member,Category.E,no-member,Probable insecure usage of temp file/directory.,MEDIUM,MEDIUM
luigi-2.1.0/test/decorator_test.py,305,Instance of 'PCopy' has no 'date' member,Category.E,no-member,Probable insecure usage of temp file/directory.,MEDIUM,MEDIUM
luigi-2.1.0/examples/wordcount_hadoop.py,46,Instance of 'DateParameter' has no 'strftime' member,Category.E,no-member,Probable insecure usage of temp file/directory.,MEDIUM,MEDIUM
