filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
colander-1.6.0/colander/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,641,[641],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
colander-1.6.0/colander/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,2591,[2591],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
colander-1.6.0/colander/compat.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with loads module.,43,[43],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
colander-1.6.0/colander/compat.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with loads module.,45,[45],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
colander-1.6.0/colander/tests/test_colander.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,4464,"[4464, 4465]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
colander-1.6.0/colander/tests/test_colander.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",4466,[4466],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
colander-1.6.0/colander/tests/test_colander.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,4477,"[4477, 4478]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
colander-1.6.0/colander/tests/test_colander.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",4479,[4479],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
colander-1.6.0/colander/tests/test_colander.py,blacklist,B403,LOW,HIGH,Consider possible security implications associated with pickle module.,4490,"[4490, 4491]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b403-import-pickle
colander-1.6.0/colander/tests/test_colander.py,blacklist,B301,MEDIUM,HIGH,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",4492,[4492],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b301-pickle
colander-1.6.0/colander/tests/test_colander.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,4564,[4564],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
