filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/list.py,53,Instance of 'AutocompleteList' has no 'choices' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/rest_model.py,97,"Invalid variable name ""fh""",Category.C,invalid-name,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/rest_model.py,141,"Invalid variable name ""fh""",Category.C,invalid-name,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/rest_model.py,160,Instance of 'AutocompleteRestModel' has no 'get_or_create_by' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
django-autocomplete-light-2.2.10/autocomplete_light/forms.py,87,No exception type(s) specified,Category.W,bare-except,"Try, Except, Continue detected.",HIGH,LOW
django-autocomplete-light-2.2.10/autocomplete_light/tests/test_registry.py,82,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
django-autocomplete-light-2.2.10/autocomplete_light/tests/test_widgets.py,3,"external import ""from lxml.cssselect import CSSSelector"" comes before ""import autocomplete_light.shortcuts as autocomplete_light""",Category.C,wrong-import-order,Using CSSSelector to parse untrusted XML data is known to be vulnerable to XML attacks. Replace CSSSelector with the equivalent defusedxml package.,HIGH,LOW
django-autocomplete-light-2.2.10/autocomplete_light/tests/test_widgets.py,4,"external import ""from lxml.html import etree"" comes before ""import autocomplete_light.shortcuts as autocomplete_light""",Category.C,wrong-import-order,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
django-autocomplete-light-2.2.10/autocomplete_light/tests/test_forms.py,4,"external import ""import lxml.html"" comes before ""import autocomplete_light.shortcuts as autocomplete_light""",Category.C,wrong-import-order,Using lxml.html to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.html with the equivalent defusedxml package.,HIGH,LOW
django-autocomplete-light-2.2.10/autocomplete_light/tests/test_widget.py,274,Comparison should be self.input().get_attribute(u'value') == u'foo &amp; bar',Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
