filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
plone.app.discussion-2.4.13/plone/app/discussion/testing.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'secret',29,[29],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
plone.app.discussion-2.4.13/plone/app/discussion/testing.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'secret',31,[31],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
plone.app.discussion-2.4.13/plone/app/discussion/testing.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'secret',34,[34],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
plone.app.discussion-2.4.13/plone/app/discussion/testing.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'secret',36,[36],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
plone.app.discussion-2.4.13/plone/app/discussion/testing.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'secret',38,"[38, 39]",https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
plone.app.discussion-2.4.13/plone/app/discussion/vocabularies.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'disabled',41,"[41, 42, 43, 44]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
plone.app.discussion-2.4.13/plone/app/discussion/vocabularies.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'captcha',48,"[48, 49, 50, 51]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
plone.app.discussion-2.4.13/plone/app/discussion/vocabularies.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'recaptcha',55,"[55, 56, 57, 58]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
plone.app.discussion-2.4.13/plone/app/discussion/vocabularies.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'akismet',62,"[62, 63, 64, 65]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
plone.app.discussion-2.4.13/plone/app/discussion/vocabularies.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'norobots',69,"[69, 70, 71, 72]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
plone.app.discussion-2.4.13/plone/app/discussion/vocabularies.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'text/plain',81,"[81, 82, 83, 84]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
plone.app.discussion-2.4.13/plone/app/discussion/vocabularies.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'text/html',86,"[86, 87, 88, 89]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
plone.app.discussion-2.4.13/plone/app/discussion/vocabularies.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'text/x-web-markdown',91,"[91, 92, 93, 94]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
plone.app.discussion-2.4.13/plone/app/discussion/vocabularies.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'text/x-web-intelligent',96,"[96, 97, 98, 99]",https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
