filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
lambdaJSON-0.1.4/lambdaJSON/__init__.py,29,"Wrong continued indentation (add 8 spaces).
                        and    eval(x[7:]) 
                        ^       |",Category.C,bad-continuation,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/__init__.py,29,Trailing whitespace,Category.C,trailing-whitespace,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/__init__.py,33,"Wrong continued indentation (add 8 spaces).
                        and    eval(x[8:]) or x)(obj) 
                        ^       |",Category.C,bad-continuation,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/__init__.py,33,Trailing whitespace,Category.C,trailing-whitespace,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/__init__.py,29,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/__init__.py,33,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/lambdaJSON.py,29,"Wrong continued indentation (add 8 spaces).
                        and    eval(x[7:]) 
                        ^       |",Category.C,bad-continuation,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/lambdaJSON.py,29,Trailing whitespace,Category.C,trailing-whitespace,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/lambdaJSON.py,33,"Wrong continued indentation (add 8 spaces).
                        and    eval(x[8:]) or x)(obj) 
                        ^       |",Category.C,bad-continuation,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/lambdaJSON.py,33,Trailing whitespace,Category.C,trailing-whitespace,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/lambdaJSON.py,29,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
lambdaJSON-0.1.4/lambdaJSON/lambdaJSON.py,33,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
