filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
rdflib-4.2.2/rdflib/tools/rdfs2dot.py,57,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/compat.py,29,"Bad indentation. Found 2 spaces, expected 4",Category.W,bad-indentation,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
rdflib-4.2.2/rdflib/compat.py,33,"Bad indentation. Found 4 spaces, expected 8",Category.W,bad-indentation,"Using xml.etree.cElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.cElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
rdflib-4.2.2/rdflib/compat.py,37,"Bad indentation. Found 6 spaces, expected 12",Category.W,bad-indentation,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/serializers/rdfxml.py,14,"standard import ""from xml.sax.saxutils import quoteattr, escape"" should be placed before ""from rdflib.plugins.serializers.xmlwriter import XMLWriter""",Category.C,wrong-import-order,"Using quoteattr to parse untrusted XML data is known to be vulnerable to XML attacks. Replace quoteattr with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/serializers/rdfxml.py,15,"standard import ""import xml.dom.minidom"" should be placed before ""from rdflib.plugins.serializers.xmlwriter import XMLWriter""",Category.C,wrong-import-order,"Using xml.dom.minidom to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,310,"No space allowed before :
		except :
         ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,345,"No space allowed before :
			except :
          ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,513,"No space allowed before :
			except :
          ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,524,"No space allowed before :
			except :
          ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,527,"No space allowed before :
		except :
         ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,648,"No space allowed before :
					except :
            ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,650,"No space allowed before :
				except :
           ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,310,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,345,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,513,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,524,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,527,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,648,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,650,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,310,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,345,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,527,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,513,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,524,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,650,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/microdata.py,648,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/utils.py,264,"No space allowed before :
	except :
        ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/utils.py,293,"Exactly one space required before assignment
			self.data		= urlopen(req)
              ^",Category.C,bad-whitespace,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/utils.py,264,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/utils.py,289,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/utils.py,293,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
rdflib-4.2.2/rdflib/plugins/parsers/pyMicrodata/utils.py,264,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/trix.py,12,"standard import ""from xml.sax.saxutils import handler"" should be placed before ""from rdflib.namespace import Namespace""",Category.C,wrong-import-order,"Using handler to parse untrusted XML data is known to be vulnerable to XML attacks. Replace handler with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/trix.py,13,"standard import ""from xml.sax import make_parser"" should be placed before ""from rdflib.namespace import Namespace""",Category.C,wrong-import-order,"Using make_parser to parse untrusted XML data is known to be vulnerable to XML attacks. Replace make_parser with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/trix.py,14,"standard import ""from xml.sax.handler import ErrorHandler"" should be placed before ""from rdflib.namespace import Namespace""",Category.C,wrong-import-order,"Using ErrorHandler to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ErrorHandler with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/trix.py,101,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/trix.py,118,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/rdfs/cache.py,53,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,Consider possible security implications associated with pickle module.,HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/rdfs/cache.py,55,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,Consider possible security implications associated with cPickle module.,HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/rdfs/cache.py,71,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Pickle and modules that wrap it can be unsafe when used to deserialize untrusted data, possible security issue.",HIGH,MEDIUM
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/rdfs/cache.py,55,Unable to import 'cPickle',Category.E,import-error,Consider possible security implications associated with cPickle module.,HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/host/html5.py,20,"No space allowed before :
except :
       ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/host/html5.py,153,"No space allowed before :
	except :
        ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/host/html5.py,153,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/host/html5.py,20,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/host/html5.py,153,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/host/__init__.py,170,Found indentation with tabs instead of spaces,Category.W,mixed-indentation,"Using xml.dom.minidom to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",HIGH,LOW
rdflib-4.2.2/rdflib/plugins/parsers/pyRdfa/extras/httpheader.py,168,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
