filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
rdflib-4.2.2/examples/graph_digest_benchmark.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,104,[104],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
rdflib-4.2.2/examples/sleepycat_example.py,HIGH,MEDIUM,Use of insecure and deprecated function (mktemp).,14,[14],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q,B306,blacklist
rdflib-4.2.2/examples/sleepycat_example.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,[25],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rdflib-4.2.2/ez_setup.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,137,[137],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
rdflib-4.2.2/rdflib/__init__.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,72,"[72, 73]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rdflib-4.2.2/rdflib/__init__.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,168,[168],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rdflib-4.2.2/rdflib/__init__.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,169,"[169, 170]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rdflib-4.2.2/rdflib/collection.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,70,[70],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rdflib-4.2.2/rdflib/collection.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,102,"[102, 103]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rdflib-4.2.2/rdflib/collection.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,166,[166],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rdflib-4.2.2/rdflib/collection.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,177,[177],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
