filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
Flask-Security-Fork-1.8.0/flask_security/core.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",210,[210],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
Flask-Security-Fork-1.8.0/flask_security/script.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '****',65,[65],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
Flask-Security-Fork-1.8.0/flask_security/utils.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",162,[162],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
Flask-Security-Fork-1.8.0/tests/conftest.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'secret',30,[30],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
Flask-Security-Fork-1.8.0/tests/test_changeable.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,[25],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-Security-Fork-1.8.0/tests/test_changeable.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,[26],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-Security-Fork-1.8.0/tests/test_changeable.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,33,"[33, 34, 35]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-Security-Fork-1.8.0/tests/test_changeable.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,41,"[41, 42, 43]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-Security-Fork-1.8.0/tests/test_changeable.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,49,"[49, 50, 51]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
Flask-Security-Fork-1.8.0/tests/test_changeable.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,57,"[57, 58, 59]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
