filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
ruffruffs-0.0.2/ruffruffs/auth.py,HIGH,MEDIUM,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",107,[107],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5,B303,blacklist
ruffruffs-0.0.2/ruffruffs/auth.py,HIGH,MEDIUM,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",113,[113],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5,B303,blacklist
ruffruffs-0.0.2/ruffruffs/auth.py,HIGH,MEDIUM,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",145,[145],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5,B303,blacklist
ruffruffs-0.0.2/ruffruffs/packages/urllib3/connection.py,MEDIUM,LOW,"ssl.wrap_socket call with no SSL/TLS protocol version specified, the default SSLv23 could be insecure, possible security issue.",222,[222],https://bandit.readthedocs.io/en/latest/plugins/b504_ssl_with_no_version.html,B504,ssl_with_no_version
ruffruffs-0.0.2/ruffruffs/packages/urllib3/contrib/ntlmpool.py,HIGH,MEDIUM,"Use of HTTPSConnection on older versions of Python prior to 2.7.9 and 3.4.3 do not provide security, see https://wiki.openstack.org/wiki/OSSN/OSSN-0033",54,[54],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b309-httpsconnection,B309,blacklist
ruffruffs-0.0.2/ruffruffs/packages/urllib3/packages/six.py,HIGH,MEDIUM,Use of exec detected.,327,[327],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html,B102,exec_used
ruffruffs-0.0.2/ruffruffs/packages/urllib3/util/ssl_.py,MEDIUM,LOW,"ssl.wrap_socket call with no SSL/TLS protocol version specified, the default SSLv23 could be insecure, possible security issue.",133,[133],https://bandit.readthedocs.io/en/latest/plugins/b504_ssl_with_no_version.html,B504,ssl_with_no_version
ruffruffs-0.0.2/ruffruffs/packages/urllib3/util/ssl_.py,MEDIUM,LOW,"ssl.wrap_socket call with no SSL/TLS protocol version specified, the default SSLv23 could be insecure, possible security issue.",135,[135],https://bandit.readthedocs.io/en/latest/plugins/b504_ssl_with_no_version.html,B504,ssl_with_no_version
ruffruffs-0.0.2/setup.py,HIGH,LOW,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",33,[33],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html,B605,start_process_with_a_shell
ruffruffs-0.0.2/setup.py,HIGH,LOW,Starting a process with a partial executable path,33,[33],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html,B607,start_process_with_partial_path
