filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
StarCluster-0.95.2/starcluster/templates/__init__.py,28,"Constant name ""_web_tmpl_loader"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
StarCluster-0.95.2/starcluster/templates/__init__.py,34,"Constant name ""_tmpl_loader"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
StarCluster-0.95.2/check.py,140,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
StarCluster-0.95.2/check.py,140,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,Starting a process with a partial executable path,HIGH,LOW
StarCluster-0.95.2/utils/scimage.py,197,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,"subprocess call with shell=True identified, security issue.",HIGH,HIGH
StarCluster-0.95.2/starcluster/config.py,128,"Variable name ""fp"" doesn't conform to snake_case naming style",Category.C,invalid-name,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
StarCluster-0.95.2/utils/scimage_12_04.py,178,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,"subprocess call with shell=True identified, security issue.",HIGH,HIGH
StarCluster-0.95.2/starcluster/userdata.py,251,"Constant name ""f"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Probable insecure usage of temp file/directory.,MEDIUM,MEDIUM
StarCluster-0.95.2/starcluster/static.py,66,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
StarCluster-0.95.2/utils/missingcloud.py,53,"Variable name ""f"" doesn't conform to snake_case naming style",Category.C,invalid-name,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
StarCluster-0.95.2/utils/missingcloud.py,61,"Variable name ""f"" doesn't conform to snake_case naming style",Category.C,invalid-name,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,HIGH,MEDIUM
StarCluster-0.95.2/utils/scimage_11_10.py,171,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,"subprocess call with shell=True identified, security issue.",HIGH,HIGH
StarCluster-0.95.2/starcluster/tests/test_threadpool.py,133,Access to a protected member _exception_queue of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
StarCluster-0.95.2/starcluster/tests/test_threadpool.py,139,Access to a protected member _exception_queue of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
StarCluster-0.95.2/utils/gitlog2changelog.py,8,"Constant name ""fin"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",HIGH,LOW
StarCluster-0.95.2/utils/gitlog2changelog.py,8,"Constant name ""fin"" doesn't conform to UPPER_CASE naming style",Category.C,invalid-name,Starting a process with a partial executable path,HIGH,LOW
StarCluster-0.95.2/utils/scimage_13_04.py,116,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,"subprocess call with shell=True identified, security issue.",HIGH,HIGH
StarCluster-0.95.2/starcluster/webtools.py,164,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
StarCluster-0.95.2/starcluster/webtools.py,169,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
StarCluster-0.95.2/starcluster/sshutils.py,33,Unable to import 'Crypto.PublicKey',Category.E,import-error,The pyCrypto library and its module RSA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
StarCluster-0.95.2/starcluster/sshutils.py,34,Unable to import 'Crypto.PublicKey',Category.E,import-error,The pyCrypto library and its module DSA are no longer actively maintained and have been deprecated. Consider using pyca/cryptography library.,HIGH,HIGH
