filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
flashfocus-1.1.2/flashfocus/config.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,147,[147],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
flashfocus-1.1.2/flashfocus/syspaths.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,15,[15],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
flashfocus-1.1.2/test/helpers.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,9,[9],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
flashfocus-1.1.2/test/helpers.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",76,[76],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
flashfocus-1.1.2/test/helpers.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,232,[232],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
flashfocus-1.1.2/test/helpers.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,232,[232],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
flashfocus-1.1.2/test/test_client.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,16,[16],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
flashfocus-1.1.2/test/test_config.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,[68],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
flashfocus-1.1.2/test/test_config.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,70,"[70, 71]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
flashfocus-1.1.2/test/test_config.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,113,[113],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
flashfocus-1.1.2/test/test_config.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,163,[163],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
flashfocus-1.1.2/test/test_config.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,178,[178],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
flashfocus-1.1.2/test/test_config.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,186,[186],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
flashfocus-1.1.2/test/test_config.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,196,"[196, 197, 198]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
flashfocus-1.1.2/test/test_config.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,208,[208],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
