filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
notebook-4.0.4/docs/source/conf.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,30,[30],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
notebook-4.0.4/notebook/_sysinfo.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,15,"[15, 16]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
notebook-4.0.4/notebook/_sysinfo.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,42,"[42, 43, 44, 45]",https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
notebook-4.0.4/notebook/_sysinfo.py,subprocess_popen_with_shell_equals_true,B602,LOW,HIGH,"subprocess call with shell=True seems safe, but may be changed in the future, consider rewriting without shell",45,"[42, 43, 44, 45]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
notebook-4.0.4/notebook/allow76.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,173,[173],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
notebook-4.0.4/notebook/allow76.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",251,[251],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
notebook-4.0.4/notebook/allow76.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,290,[290],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
notebook-4.0.4/notebook/auth/tests/test_security.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,[25],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
notebook-4.0.4/notebook/base/handlers.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",291,[291],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
notebook-4.0.4/notebook/jstest.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,21,[21],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
notebook-4.0.4/notebook/jstest.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with TimeoutExpired module.,38,[38],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
notebook-4.0.4/notebook/jstest.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,149,"[149, 150]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
notebook-4.0.4/notebook/jstest.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",179,[179],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
notebook-4.0.4/notebook/jstest.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,324,"[324, 325, 326, 327, 328]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
notebook-4.0.4/notebook/nbextensions.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,165,[165],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
notebook-4.0.4/notebook/notebookapp.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,112,[112],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
notebook-4.0.4/notebook/notebookapp.py,jinja2_autoescape_false,B701,HIGH,HIGH,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",164,[164],https://bandit.readthedocs.io/en/latest/plugins/b701_jinja2_autoescape_false.html
notebook-4.0.4/notebook/services/contents/tests/test_contents_api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,347,[347],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
notebook-4.0.4/notebook/services/contents/tests/test_contents_api.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,511,"[511, 512]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
