filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
mitmproxy-0.15/libmproxy/contentviews.py,434,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
mitmproxy-0.15/libmproxy/contentviews.py,434,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,Starting a process with a partial executable path,HIGH,LOW
mitmproxy-0.15/libmproxy/contentviews.py,446,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,subprocess call - check for execution of untrusted input.,HIGH,LOW
mitmproxy-0.15/libmproxy/contentviews.py,446,"Variable name ""p"" doesn't conform to snake_case naming style",Category.C,invalid-name,Starting a process with a partial executable path,HIGH,LOW
mitmproxy-0.15/libmproxy/contentviews.py,20,Unable to import 'lxml.html',Category.E,import-error,Using lxml.html to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.html with the equivalent defusedxml package.,HIGH,LOW
mitmproxy-0.15/libmproxy/contentviews.py,21,Unable to import 'lxml.etree',Category.E,import-error,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,HIGH,LOW
mitmproxy-0.15/test/test_console.py,92,Comparison to None should be 'expr is None',Category.C,singleton-comparison,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
mitmproxy-0.15/test/test_console.py,98,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
mitmproxy-0.15/test/test_flow.py,158,"Consider changing ""not s._hash(r) == s._hash(r2)"" to ""s._hash(r) != s._hash(r2)""",Category.C,unneeded-not,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
mitmproxy-0.15/test/test_flow.py,220,"Consider changing ""not s._hash(r) == s._hash(r2)"" to ""s._hash(r) != s._hash(r2)""",Category.C,unneeded-not,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
mitmproxy-0.15/test/test_flow.py,245,"Consider changing ""not s._hash(r) == s._hash(r2)"" to ""s._hash(r) != s._hash(r2)""",Category.C,unneeded-not,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
mitmproxy-0.15/test/test_flow.py,248,"Consider changing ""not s._hash(r) == s._hash(r2)"" to ""s._hash(r) != s._hash(r2)""",Category.C,unneeded-not,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
