filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
StarCluster-0.95.2/check.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,7,"[7, 8]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
StarCluster-0.95.2/check.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",95,"[93, 94, 95]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
StarCluster-0.95.2/check.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,140,"[140, 141]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
StarCluster-0.95.2/check.py,HIGH,LOW,Starting a process with a partial executable path,140,"[140, 141]",https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html,B607,start_process_with_partial_path
StarCluster-0.95.2/distribute_setup.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,30,"[30, 31]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
StarCluster-0.95.2/distribute_setup.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,34,[34],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
StarCluster-0.95.2/distribute_setup.py,MEDIUM,LOW,Starting a process without a shell.,47,[47],https://bandit.readthedocs.io/en/latest/plugins/b606_start_process_with_no_shell.html,B606,start_process_with_no_shell
StarCluster-0.95.2/distribute_setup.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,193,[193],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
StarCluster-0.95.2/distribute_setup.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,428,[428],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
StarCluster-0.95.2/starcluster/awsutils.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,227,[227],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
StarCluster-0.95.2/starcluster/awsutils.py,HIGH,HIGH,"Starting a process with a shell, possible injection detected, security issue.",1166,[1166],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html,B605,start_process_with_a_shell
StarCluster-0.95.2/starcluster/balancers/sge/__init__.py,HIGH,LOW,"Using xml.dom.minidom to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",22,"[22, 23]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b408-import-xml-minidom,B408,blacklist
StarCluster-0.95.2/starcluster/balancers/sge/__init__.py,HIGH,MEDIUM,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,66,[66],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-minidom,B318,blacklist
StarCluster-0.95.2/starcluster/balancers/sge/__init__.py,HIGH,MEDIUM,Using xml.dom.minidom.parseString to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.dom.minidom.parseString with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,87,[87],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-minidom,B318,blacklist
StarCluster-0.95.2/starcluster/balancers/sge/__init__.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,434,[434],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
StarCluster-0.95.2/starcluster/cli.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,134,[134],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
StarCluster-0.95.2/starcluster/cluster.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1013,[1013],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
StarCluster-0.95.2/starcluster/cluster.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1649,[1649],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
StarCluster-0.95.2/starcluster/cluster.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,2223,[2223],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
StarCluster-0.95.2/starcluster/completion.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,141,[141],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
StarCluster-0.95.2/starcluster/config.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,128,[128],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
StarCluster-0.95.2/starcluster/node.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,23,"[23, 24]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
StarCluster-0.95.2/starcluster/node.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",1105,[1105],https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
StarCluster-0.95.2/starcluster/plugins/mysql.py,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,216,[216],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html,B108,hardcoded_tmp_directory
StarCluster-0.95.2/starcluster/plugins/sge.py,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,67,[67],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html,B108,hardcoded_tmp_directory
