filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
ipython-3.2.1/IPython/nbconvert/exporters/tests/test_slides.py,28,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ipython-3.2.1/IPython/nbconvert/exporters/tests/test_slides.py,36,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ipython-3.2.1/IPython/kernel/adapter.py,184,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/kernel/adapter.py,326,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/core/magics/config.py,153,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
ipython-3.2.1/IPython/core/oinspect.py,714,More than one statement on a single line,Category.C,multiple-statements,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/core/oinspect.py,735,More than one statement on a single line,Category.C,multiple-statements,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/core/oinspect.py,140,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/core/oinspect.py,338,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/core/oinspect.py,714,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/core/oinspect.py,726,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/core/oinspect.py,735,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/core/oinspect.py,763,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/parallel/apps/ipengineapp.py,371,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
ipython-3.2.1/IPython/utils/pickleshare.py,310,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
ipython-3.2.1/IPython/utils/pickleshare.py,310,Unused variable 'data',Category.W,unused-variable,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
ipython-3.2.1/IPython/core/magic.py,391,"Variable name ""m"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Function call with shell=True parameter identified, possible security issue.",LOW,MEDIUM
ipython-3.2.1/IPython/core/ultratb.py,740,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/core/ultratb.py,843,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
ipython-3.2.1/IPython/core/ultratb.py,852,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
ipython-3.2.1/IPython/kernel/connect.py,415,"Attribute name ""ip"" doesn't conform to snake_case naming style",Category.C,invalid-name,Possible binding to all interfaces.,MEDIUM,MEDIUM
ipython-3.2.1/IPython/qt/console/completion_plain.py,26,Access to a protected member _control of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ipython-3.2.1/IPython/testing/iptestcontroller.py,24,"standard import ""import subprocess"" should be placed before ""import requests""",Category.C,wrong-import-order,Consider possible security implications associated with subprocess module.,HIGH,LOW
ipython-3.2.1/IPython/testing/iptestcontroller.py,39,Imports from package subprocess are not grouped,Category.C,ungrouped-imports,Consider possible security implications associated with TimeoutExpired module.,HIGH,LOW
ipython-3.2.1/IPython/testing/iptestcontroller.py,126,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/testing/iptestcontroller.py,355,Attribute 'server' defined outside __init__,Category.W,attribute-defined-outside-init,subprocess call - check for execution of untrusted input.,HIGH,LOW
ipython-3.2.1/IPython/nbconvert/exporters/tests/test_rst.py,35,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ipython-3.2.1/IPython/nbconvert/filters/strings.py,85,"Variable name ""h"" doesn't conform to snake_case naming style",Category.C,invalid-name,Using xml.etree.ElementTree.fromstring to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.fromstring with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,HIGH,MEDIUM
ipython-3.2.1/IPython/nbconvert/exporters/tests/test_notebook.py,26,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ipython-3.2.1/setupegg.py,7,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
ipython-3.2.1/IPython/utils/pickleutil.py,156,Use of eval,Category.W,eval-used,Use of possibly insecure function - consider using safer ast.literal_eval.,HIGH,MEDIUM
ipython-3.2.1/IPython/utils/pickleutil.py,58,Unable to import 'dill',Category.E,import-error,Consider possible security implications associated with dill module.,HIGH,LOW
ipython-3.2.1/IPython/extensions/cythonmagic.py,28,"No space allowed before :
except :
       ^",Category.C,bad-whitespace,"Try, Except, Pass detected.",HIGH,LOW
ipython-3.2.1/IPython/extensions/cythonmagic.py,28,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
