filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
gevent-1.1.2/gevent/monkey.py,642,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
gevent-1.1.2/gevent/_socket2.py,472,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
gevent-1.1.2/gevent/greenlet.py,298,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
gevent-1.1.2/gevent/_tblib.py,184,Use of exec,Category.W,exec-used,Use of exec detected.,HIGH,MEDIUM
gevent-1.1.2/gevent/_semaphore.py,167,Line too long (106/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gevent-1.1.2/gevent/baseserver.py,307,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
gevent-1.1.2/gevent/subprocess.py,38,"Import ""import subprocess as __subprocess__"" should be placed at the top of the module",Category.C,wrong-import-position,Consider possible security implications associated with subprocess module.,HIGH,LOW
gevent-1.1.2/gevent/subprocess.py,38,"standard import ""import subprocess as __subprocess__"" should be placed before ""from gevent.event import AsyncResult""",Category.C,wrong-import-order,Consider possible security implications associated with subprocess module.,HIGH,LOW
gevent-1.1.2/gevent/subprocess.py,1056,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
gevent-1.1.2/gevent/subprocess.py,1065,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
gevent-1.1.2/gevent/subprocess.py,1183,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
gevent-1.1.2/gevent/_socket3.py,712,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
gevent-1.1.2/gevent/_socket3.py,983,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
gevent-1.1.2/gevent/pywsgi.py,559,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
gevent-1.1.2/gevent/hub.py,843,Line too long (102/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
gevent-1.1.2/gevent/hub.py,859,Line too long (102/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
