filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
futoin-cid-0.8.4/futoin/cid/contrib/docopt.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,52,[52],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
futoin-cid-0.8.4/futoin/cid/contrib/docopt.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,189,[189],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
futoin-cid-0.8.4/futoin/cid/contrib/docopt.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,256,[256],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
futoin-cid-0.8.4/futoin/cid/contrib/docopt.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,305,[305],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
futoin-cid-0.8.4/futoin/cid/contrib/docopt.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,338,[338],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
futoin-cid-0.8.4/futoin/cid/contrib/docopt.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '([',410,[410],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
futoin-cid-0.8.4/futoin/cid/contrib/docopt.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'options',417,[417],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
futoin-cid-0.8.4/futoin/cid/contrib/docopt.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: '--',420,[420],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
futoin-cid-0.8.4/futoin/cid/details/nginx.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,489,[489],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
futoin-cid-0.8.4/futoin/cid/details/resourcealgo.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,324,"[323, 324]",https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
futoin-cid-0.8.4/futoin/cid/mixins/lock.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,37,"[37, 38]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
futoin-cid-0.8.4/futoin/cid/mixins/service.py,hardcoded_bind_all_interfaces,B104,MEDIUM,MEDIUM,Possible binding to all interfaces.,78,[78],https://bandit.readthedocs.io/en/latest/plugins/b104_hardcoded_bind_all_interfaces.html
futoin-cid-0.8.4/futoin/cid/mixins/service.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",191,[191],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
futoin-cid-0.8.4/futoin/cid/tool/archivatool.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,190,[190],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
futoin-cid-0.8.4/futoin/cid/tool/gittool.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",53,[53],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
futoin-cid-0.8.4/futoin/cid/tool/gittool.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",60,[60],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
futoin-cid-0.8.4/futoin/cid/tool/phptool.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",62,[62],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
futoin-cid-0.8.4/futoin/cid/tool/phptool.py,hardcoded_tmp_directory,B108,MEDIUM,MEDIUM,Probable insecure usage of temp file/directory.,67,[67],https://bandit.readthedocs.io/en/latest/plugins/b108_hardcoded_tmp_directory.html
futoin-cid-0.8.4/futoin/cid/tool/phptool.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",449,[449],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
futoin-cid-0.8.4/futoin/cid/tool/rvmtool.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",71,[71],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
futoin-cid-0.8.4/futoin/cid/tool/rvmtool.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",88,[88],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
