filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/generic.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,80,"[80, 81]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/generic.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,119,"[119, 120]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/list.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,53,"[53, 54]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/model.py,django_extra_used,B610,MEDIUM,MEDIUM,Use of extra potential SQL attack vector.,92,"[92, 93, 94]",https://bandit.readthedocs.io/en/latest/plugins/b610_django_extra_used.html
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/model.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,106,[106],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/model.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,116,[116],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/model.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,117,[117],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/model.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,118,"[118, 119]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/rest_model.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,97,[97],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/rest_model.py,blacklist,B310,MEDIUM,HIGH,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,141,[141],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen
django-autocomplete-light-2.2.10/autocomplete_light/autocomplete/rest_model.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,160,"[160, 161]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/forms.py,try_except_continue,B112,LOW,HIGH,"Try, Except, Continue detected.",87,[87],https://bandit.readthedocs.io/en/latest/plugins/b112_try_except_continue.html
django-autocomplete-light-2.2.10/autocomplete_light/registry.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,127,[127],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/registry.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,128,"[128, 129]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/templatetags/autocomplete_light_tags.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,16,[16],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
django-autocomplete-light-2.2.10/autocomplete_light/templatetags/autocomplete_light_tags.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,16,[16],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
django-autocomplete-light-2.2.10/autocomplete_light/templatetags/autocomplete_light_tags.py,django_mark_safe,B703,MEDIUM,HIGH,Potential XSS on mark_safe function.,22,[22],https://bandit.readthedocs.io/en/latest/plugins/b703_django_mark_safe.html
django-autocomplete-light-2.2.10/autocomplete_light/templatetags/autocomplete_light_tags.py,blacklist,B308,MEDIUM,HIGH,Use of mark_safe() may expose cross-site scripting vulnerabilities and should be reviewed.,22,[22],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b308-mark-safe
django-autocomplete-light-2.2.10/autocomplete_light/tests/autocomplete/test_model.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,200,[200],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/tests/autocomplete/test_model.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,209,[209],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/tests/autocomplete/test_model.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,234,[234],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/tests/test_forms.py,blacklist,B410,LOW,HIGH,Using lxml.html to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.html with the equivalent defusedxml package.,4,[4],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
django-autocomplete-light-2.2.10/autocomplete_light/tests/test_forms.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,68,[68],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
django-autocomplete-light-2.2.10/autocomplete_light/tests/test_registry.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",82,[82],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
django-autocomplete-light-2.2.10/autocomplete_light/tests/test_registry.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,167,[167],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
