filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
tmc-0.3.4/setup.py,HIGH,MEDIUM,Use of exec detected.,14,"[14, 15]",https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html,B102,exec_used
tmc-0.3.4/tmc/__main__.py,HIGH,LOW,Consider possible security implications associated with Popen module.,8,"[8, 9]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
tmc-0.3.4/tmc/__main__.py,HIGH,LOW,Consider possible security implications associated with DEVNULL module.,26,[26],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
tmc-0.3.4/tmc/__main__.py,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",82,[82],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input,B322,blacklist
tmc-0.3.4/tmc/__main__.py,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",90,[90],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input,B322,blacklist
tmc-0.3.4/tmc/__main__.py,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",115,[115],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input,B322,blacklist
tmc-0.3.4/tmc/__main__.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,232,[232],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
tmc-0.3.4/tmc/__main__.py,HIGH,LOW,Starting a process with a partial executable path,232,[232],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html,B607,start_process_with_partial_path
tmc-0.3.4/tmc/__main__.py,HIGH,HIGH,"The input method in Python 2 will read from standard input, evaluate and run the resulting string as python source code. This is similar, though in many ways worse, then using eval. On Python 2, use raw_input instead, input is safe in Python 3.",420,[420],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b322-input,B322,blacklist
tmc-0.3.4/tmc/exercise_tests/ant.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
tmc-0.3.4/tmc/exercise_tests/ant.py,HIGH,MEDIUM,Using xml.etree.ElementTree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,29,[29],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-elementtree,B314,blacklist
tmc-0.3.4/tmc/exercise_tests/basetest.py,HIGH,LOW,Consider possible security implications associated with PIPE module.,3,"[3, 4]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
tmc-0.3.4/tmc/exercise_tests/basetest.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,42,[42],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
tmc-0.3.4/tmc/exercise_tests/check.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
tmc-0.3.4/tmc/exercise_tests/check.py,HIGH,MEDIUM,Using xml.etree.ElementTree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,24,[24],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
tmc-0.3.4/tmc/exercise_tests/maven.py,HIGH,LOW,"Using xml.etree.ElementTree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",1,[1],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b405-import-xml-etree,B405,blacklist
tmc-0.3.4/tmc/exercise_tests/maven.py,HIGH,MEDIUM,Using xml.etree.ElementTree.parse to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.etree.ElementTree.parse with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,28,[28],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b313-b320-xml-bad-elementtree,B314,blacklist
