filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
fedmsg-0.18.1/fedmsg/__init__.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,77,[77],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
fedmsg-0.18.1/fedmsg/commands/trigger.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,21,[21],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
fedmsg-0.18.1/fedmsg/commands/trigger.py,subprocess_popen_with_shell_equals_true,B602,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",80,"[78, 79, 80]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html
fedmsg-0.18.1/fedmsg/config.py,exec_used,B102,MEDIUM,HIGH,Use of exec detected.,333,[333],https://bandit.readthedocs.io/en/latest/plugins/b102_exec_used.html
fedmsg-0.18.1/fedmsg/crypto/gpg.py,blacklist,B404,LOW,HIGH,Consider possible security implications associated with subprocess module.,26,"[26, 27]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess
fedmsg-0.18.1/fedmsg/crypto/gpg.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,103,[103],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
fedmsg-0.18.1/fedmsg/crypto/gpg.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,118,"[118, 119, 120, 121, 122]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
fedmsg-0.18.1/fedmsg/crypto/gpg.py,subprocess_without_shell_equals_true,B603,LOW,HIGH,subprocess call - check for execution of untrusted input.,138,"[138, 139, 140, 141, 142]",https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html
fedmsg-0.18.1/fedmsg/crypto/x509_ng.py,blacklist,B303,MEDIUM,HIGH,"Use of insecure MD2, MD4, MD5, or SHA1 hash function.",79,[79],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b303-md5
fedmsg-0.18.1/fedmsg/tests/fedmsg-test-config.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,37,[37],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
