filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
ckan-1.5/ckan/tests/functional/test_home.py,81,Line too long (116/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_package.py,137,Trailing whitespace,Category.C,trailing-whitespace,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_package.py,356,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_package.py,208,Anomalous backslash in string: '\('. String constant might be missing an r prefix.,Category.W,anomalous-backslash-in-string,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_package.py,208,Anomalous backslash in string: '\)'. String constant might be missing an r prefix.,Category.W,anomalous-backslash-in-string,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_package.py,558,Module 'ckan.model' has no 'Session' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_package.py,558,Module 'ckan.model' has no 'Package' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_licenses.py,18,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_group.py,186,Line too long (104/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_group.py,193,Line too long (104/100),Category.C,line-too-long,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_group.py,130,Module 'ckan.model' has no 'Group' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_group.py,140,Module 'ckan.model' has no 'Group' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_group.py,186,Module 'ckan.model' has no 'Session' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_group.py,186,Module 'ckan.model' has no 'Group' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_group.py,193,Module 'ckan.model' has no 'Session' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_group.py,193,Module 'ckan.model' has no 'Group' member,Category.E,no-member,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/model/test_ratings.py,90,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
ckan-1.5/ckan/tests/functional/api/test_resource_search.py,78,Anomalous backslash in string: '\('. String constant might be missing an r prefix.,Category.W,anomalous-backslash-in-string,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
