filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
pyftpdlib-0.2.0/pyftpdlib/ftpserver.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,366,[366],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
pyftpdlib-0.2.0/pyftpdlib/ftpserver.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1561,[1561],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyftpdlib-0.2.0/pyftpdlib/ftpserver.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,1616,[1616],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B402,HIGH,HIGH,A FTP-related module is being imported.  FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,35,[35],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b402-import-ftplib
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,280,[280],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,282,[282],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,283,[283],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyftpdlib-0.2.0/test/test_ftpd.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'wrong',298,[298],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
pyftpdlib-0.2.0/test/test_ftpd.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'anon@',301,[301],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
pyftpdlib-0.2.0/test/test_ftpd.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'anon@',302,[302],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
pyftpdlib-0.2.0/test/test_ftpd.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: '',303,[303],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
pyftpdlib-0.2.0/test/test_ftpd.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'wrong',306,[306],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
pyftpdlib-0.2.0/test/test_ftpd.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'wrong',307,[307],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
pyftpdlib-0.2.0/test/test_ftpd.py,hardcoded_password_funcarg,B106,LOW,MEDIUM,Possible hardcoded password: 'wrong',308,[308],https://bandit.readthedocs.io/en/latest/plugins/b106_hardcoded_password_funcarg.html
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,415,[415],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B311,LOW,HIGH,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,449,[449],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b311-random
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,468,[468],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,471,[471],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,472,[472],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,498,[498],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,500,[500],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,504,[504],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,532,[532],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,536,[536],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,540,[540],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B321,HIGH,HIGH,FTP-related functions are being called. FTP is considered insecure. Use SSH/SFTP/SCP or some other encrypted protocol.,571,[571],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b321-ftplib
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,574,[574],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
pyftpdlib-0.2.0/test/test_ftpd.py,blacklist,B306,MEDIUM,HIGH,Use of insecure and deprecated function (mktemp).,575,[575],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b306-mktemp-q
