filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
zeep-0.3.0/tests/test_xsd.py,2,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/wsdl/wsdl.py,6,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/wsdl/wsdl.py,7,Unable to import 'lxml.etree',Category.E,import-error,Using QName to parse untrusted XML data is known to be vulnerable to XML attacks. Replace QName with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/xsd/schema.py,4,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/tests/test_response.py,1,Missing module docstring,Category.C,missing-docstring,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/tests/test_response.py,1,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/xsd/visitor.py,4,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/wsdl/definitions.py,3,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/tests/test_xsd_integration.py,1,Missing module docstring,Category.C,missing-docstring,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/tests/test_xsd_integration.py,1,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/tests/test_xsd_visitor.py,30,Access to a protected member _element_form of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zeep-0.3.0/tests/test_xsd_visitor.py,31,Access to a protected member _attribute_form of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zeep-0.3.0/tests/test_xsd_visitor.py,43,Access to a protected member _elm_instances of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zeep-0.3.0/tests/test_xsd_visitor.py,58,Access to a protected member _elm_instances of a client class,Category.W,protected-access,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
zeep-0.3.0/tests/test_xsd_visitor.py,2,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/parser.py,3,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/utils.py,1,Missing module docstring,Category.C,missing-docstring,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/utils.py,1,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/wsdl/soap.py,2,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/wsdl/soap.py,3,Unable to import 'lxml.builder',Category.E,import-error,Using ElementMaker to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ElementMaker with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/tests/test_helpers.py,1,Missing module docstring,Category.C,missing-docstring,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/tests/test_helpers.py,1,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/wsdl/http.py,1,Missing module docstring,Category.C,missing-docstring,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/wsdl/http.py,1,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/xsd/elements.py,1,Missing module docstring,Category.C,missing-docstring,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/src/zeep/xsd/elements.py,1,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/tests/utils.py,1,Missing module docstring,Category.C,missing-docstring,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
zeep-0.3.0/tests/utils.py,1,Unable to import 'lxml',Category.E,import-error,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,HIGH,LOW
