filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
mosql-0.9.1/docs/conf.py,start_process_with_a_shell,B605,LOW,HIGH,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",19,[19],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html
mosql-0.9.1/docs/conf.py,start_process_with_partial_path,B607,LOW,HIGH,Starting a process with a partial executable path,19,[19],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html
mosql-0.9.1/examples/70_web.py,flask_debug_true,B201,HIGH,MEDIUM,"A Flask app appears to be run with debug=True, which exposes the Werkzeug debugger and allows the execution of arbitrary code.",31,[31],https://bandit.readthedocs.io/en/latest/plugins/b201_flask_debug_true.html
mosql-0.9.1/mosql/db.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,92,"[92, 93]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
mosql-0.9.1/mosql/db.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,136,[136],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
mosql-0.9.1/mosql/db.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,140,[140],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
mosql-0.9.1/mosql/db.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,154,[154],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
mosql-0.9.1/mosql/db.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,158,[158],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
mosql-0.9.1/mosql/db.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,198,[198],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
mosql-0.9.1/mosql/db.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,202,[202],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
mosql-0.9.1/tests/test_sqlite.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,85,[85],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
mosql-0.9.1/tests/test_sqlite.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,104,[104],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
