filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
Flask-Security-Fork-1.8.0/tests/test_registerable.py,125,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/tests/test_changeable.py,119,Do not use `len(SEQUENCE)` to determine if a sequence is empty,Category.C,len-as-condition,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/tests/test_common.py,170,Comparison should be response.status_code == 401,Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/tests/test_common.py,175,Comparison should be response.status_code == 401,Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/tests/test_common.py,189,"Comparison should be response.headers['WWW-Authenticate'] == 'Basic realm=""Login Required""'",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/tests/test_common.py,198,"Comparison should be response.headers['WWW-Authenticate'] == 'Basic realm=""Login Required""'",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/tests/test_common.py,207,"Comparison should be response.headers['WWW-Authenticate'] == 'Basic realm=""Login Required""'",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/tests/test_common.py,216,"Comparison should be response.headers['WWW-Authenticate'] == 'Basic realm=""My Realm""'",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/tests/test_common.py,235,"Comparison should be response.headers['WWW-Authenticate'] == 'Basic realm=""Login Required""'",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/flask_security/core.py,210,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
Flask-Security-Fork-1.8.0/tests/test_configuration.py,39,"Comparison should be response.headers['WWW-Authenticate'] == 'Basic realm=""Custom Realm""'",Category.C,misplaced-comparison-constant,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
Flask-Security-Fork-1.8.0/tests/utils.py,17,Missing function docstring,Category.C,missing-docstring,Possible hardcoded password: 'password',MEDIUM,LOW
Flask-Security-Fork-1.8.0/tests/utils.py,22,Missing function docstring,Category.C,missing-docstring,Possible hardcoded password: 'password',MEDIUM,LOW
