filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
SOAPpy-0.12.5/src/SOAPpy/Client.py,HIGH,LOW,"Try, Except, Pass detected.",91,[91],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/Client.py,HIGH,LOW,"Try, Except, Pass detected.",491,[491],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/GSIServer.py,HIGH,LOW,"Try, Except, Pass detected.",68,[68],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/Parser.py,HIGH,LOW,"Using xml.sax to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.sax with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",9,[9],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b406-import-xml-sax,B406,blacklist
SOAPpy-0.12.5/src/SOAPpy/Parser.py,HIGH,LOW,"Try, Except, Pass detected.",13,[13],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/Parser.py,HIGH,LOW,"Try, Except, Pass detected.",412,[412],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/Parser.py,HIGH,LOW,"Try, Except, Pass detected.",463,[463],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/Parser.py,HIGH,LOW,"Try, Except, Pass detected.",985,[985],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/Parser.py,HIGH,MEDIUM,Using xml.sax.make_parser to parse untrusted XML data is known to be vulnerable to XML attacks. Replace xml.sax.make_parser with its defusedxml equivalent function or make sure defusedxml.defuse_stdlib() is called,1041,[1041],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b313-b320-xml-bad-sax,B317,blacklist
SOAPpy-0.12.5/src/SOAPpy/SOAPBuilder.py,HIGH,LOW,"Try, Except, Pass detected.",310,[310],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/Server.py,HIGH,LOW,"Try, Except, Pass detected.",65,[65],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/Utilities.py,HIGH,LOW,"Try, Except, Pass detected.",150,[150],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
SOAPpy-0.12.5/src/SOAPpy/WSDL.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,48,[48],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
SOAPpy-0.12.5/src/SOAPpy/WSDL.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,67,[67],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
SOAPpy-0.12.5/src/SOAPpy/WSDL.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,74,[74],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
SOAPpy-0.12.5/src/SOAPpy/WSDL.py,HIGH,MEDIUM,Audit url open for permitted schemes. Allowing use of file:/ or custom schemes is often unexpected.,78,[78],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_calls.html#b310-urllib-urlopen,B310,blacklist
SOAPpy-0.12.5/tests/Bug1001646.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,58,"[58, 59]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
SOAPpy-0.12.5/tests/Bug1001646.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,61,[61],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
SOAPpy-0.12.5/tests/Bug1001646.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,64,[64],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
SOAPpy-0.12.5/tests/Bug1001646.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,69,[69],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
SOAPpy-0.12.5/tests/Bug1001646.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,70,"[70, 71]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
SOAPpy-0.12.5/tests/Bug916265.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,"[25, 26]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
SOAPpy-0.12.5/tests/Bug916265.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,29,[29],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
SOAPpy-0.12.5/tests/Bug916265.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,30,"[30, 31]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
SOAPpy-0.12.5/tests/Bug916265.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,41,[41],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
