filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
crossbar-0.14.0/crossbar/_logging.py,353,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/_logging.py,353,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/controller/processtypes.py,133,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/controller/node.py,585,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/controller/test/test_run.py,138,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/controller/test/test_run.py,243,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/controller/test/test_run.py,322,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/controller/test/test_run.py,524,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/controller/test/test_run.py,1233,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/controller/process.py,243,"Variable name ""e"" doesn't conform to snake_case naming style",Category.C,invalid-name,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/controller/process.py,243,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/common/checkconfig.py,139,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/common/checkconfig.py,148,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/common/checkconfig.py,139,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/common/checkconfig.py,148,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/common/checkconfig.py,779,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/common/processinfo.py,227,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/adapter/rest/test/__init__.py,66,"Variable name ""messageID"" doesn't conform to snake_case naming style",Category.C,invalid-name,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
crossbar-0.14.0/crossbar/router/dealer.py,402,Line too long (107/100),Category.C,line-too-long,Standard pseudo-random generators are not suitable for security/cryptographic purposes.,HIGH,LOW
crossbar-0.14.0/crossbar/router/dealer.py,485,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/session.py,113,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/router/router.py,256,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/router.py,319,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/router.py,345,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/router.py,366,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/router.py,402,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/router.py,403,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/router.py,256,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/router.py,319,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/router.py,402,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,75,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,76,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,77,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,78,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,79,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,80,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,81,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,115,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,131,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,138,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,227,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,73,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,75,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,76,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,77,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,78,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,79,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,80,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,81,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,115,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,131,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,138,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,224,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,227,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/role.py,228,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/realmstore.py,120,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/realmstore.py,142,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/realmstore.py,143,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/service.py,140,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/router/service.py,159,Using type() instead of isinstance() for a typecheck.,Category.C,unidiomatic-typecheck,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
crossbar-0.14.0/crossbar/twisted/resource.py,52,Imports from package twisted are not grouped,Category.C,ungrouped-imports,Consider possible security implications associated with CGIScript module.,HIGH,HIGH
crossbar-0.14.0/crossbar/twisted/sharedport.py,56,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
crossbar-0.14.0/crossbar/worker/worker.py,95,Attribute '_templates' defined outside __init__,Category.W,attribute-defined-outside-init,"By default, jinja2 sets autoescape to False. Consider using autoescape=True or use the select_autoescape function to mitigate XSS vulnerabilities.",HIGH,HIGH
crossbar-0.14.0/crossbar/worker/process.py,193,No exception type(s) specified,Category.W,bare-except,"Try, Except, Pass detected.",HIGH,LOW
