filename,line_number,pylint_message,pylint_type,pylint_symbol,bandit_issue_text,bandit_issue_confidence,bandit_issue_severity
trytond-2.2.14/trytond/server.py,227,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
trytond-2.2.14/trytond/model/modelstorage.py,306,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Pass detected.",HIGH,LOW
trytond-2.2.14/trytond/backend/sqlite/table.py,52,"Wrong continued indentation (add 8 spaces).
                    '(' + ','.join(columns) + ') '
                    ^       |",Category.C,bad-continuation,Possible SQL injection vector through string-based query construction.,MEDIUM,MEDIUM
trytond-2.2.14/trytond/backend/sqlite/table.py,60,"Wrong continued indentation (add 8 spaces).
                    '(' + ','.join(columns) + ') '
                    ^       |",Category.C,bad-continuation,Possible SQL injection vector through string-based query construction.,MEDIUM,MEDIUM
trytond-2.2.14/trytond/backend/postgresql/database.py,213,Catching too general exception Exception,Category.W,broad-except,"Try, Except, Continue detected.",HIGH,LOW
trytond-2.2.14/trytond/report/report.py,26,"Import ""import lxml.etree"" should be placed at the top of the module",Category.C,wrong-import-position,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,HIGH,LOW
trytond-2.2.14/trytond/report/report.py,26,Unable to import 'lxml.etree',Category.E,import-error,Using lxml.etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace lxml.etree with the equivalent defusedxml package.,HIGH,LOW
trytond-2.2.14/trytond/backend/fields.py,100,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
trytond-2.2.14/trytond/backend/fields.py,122,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
trytond-2.2.14/trytond/backend/fields.py,143,Unnecessary parens after 'assert' keyword,Category.C,superfluous-parens,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,HIGH,LOW
trytond-2.2.14/trytond/ir/rule.py,175,"Wrong continued indentation.
                    ""AND g.perm_"" + mode + "" ""
                |   ^  |",Category.C,bad-continuation,Possible SQL injection vector through string-based query construction.,MEDIUM,MEDIUM
trytond-2.2.14/trytond/ir/rule.py,171,Access to a protected member _table of a client class,Category.W,protected-access,Possible SQL injection vector through string-based query construction.,MEDIUM,MEDIUM
trytond-2.2.14/trytond/ir/rule.py,173,Access to a protected member _table of a client class,Category.W,protected-access,Possible SQL injection vector through string-based query construction.,MEDIUM,MEDIUM
trytond-2.2.14/trytond/ir/rule.py,178,Access to a protected member _table of a client class,Category.W,protected-access,Possible SQL injection vector through string-based query construction.,MEDIUM,MEDIUM
trytond-2.2.14/trytond/ir/rule.py,221,Access to a protected member _table of a client class,Category.W,protected-access,Possible SQL injection vector through string-based query construction.,MEDIUM,MEDIUM
