filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
pyvcloud-19.3.0/examples/tenant-onboard.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,79,[79],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
pyvcloud-19.3.0/examples/tenant-remove.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,39,[39],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
pyvcloud-19.3.0/examples/tenantlib.py,blacklist,B410,LOW,HIGH,Using ObjectifiedElement to parse untrusted XML data is known to be vulnerable to XML attacks. Replace ObjectifiedElement with the equivalent defusedxml package.,15,"[15, 16]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyvcloud-19.3.0/pyvcloud/system_test_framework/base_test.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,32,[32],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
pyvcloud-19.3.0/pyvcloud/vcd/org.py,blacklist,B410,LOW,HIGH,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,24,[24],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyvcloud-19.3.0/pyvcloud/vcd/org.py,blacklist,B410,LOW,HIGH,Using objectify to parse untrusted XML data is known to be vulnerable to XML attacks. Replace objectify with the equivalent defusedxml package.,25,"[25, 26]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyvcloud-19.3.0/pyvcloud/vcd/org.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",840,[840],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyvcloud-19.3.0/pyvcloud/vcd/test.py,yaml_load,B506,MEDIUM,HIGH,Use of unsafe yaml load. Allows instantiation of arbitrary objects. Consider yaml.safe_load().,35,[35],https://bandit.readthedocs.io/en/latest/plugins/b506_yaml_load.html
pyvcloud-19.3.0/pyvcloud/vcd/utils.py,blacklist,B410,LOW,HIGH,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,17,[17],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyvcloud-19.3.0/pyvcloud/vcd/utils.py,blacklist,B410,LOW,HIGH,Using NoneElement to parse untrusted XML data is known to be vulnerable to XML attacks. Replace NoneElement with the equivalent defusedxml package.,18,[18],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyvcloud-19.3.0/pyvcloud/vcd/vapp.py,blacklist,B410,LOW,HIGH,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,18,[18],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyvcloud-19.3.0/pyvcloud/vcd/vapp.py,blacklist,B410,LOW,HIGH,Using objectify to parse untrusted XML data is known to be vulnerable to XML attacks. Replace objectify with the equivalent defusedxml package.,19,"[19, 20]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyvcloud-19.3.0/pyvcloud/vcd/vapp.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,501,[501],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyvcloud-19.3.0/pyvcloud/vcd/vdc.py,blacklist,B410,LOW,HIGH,Using etree to parse untrusted XML data is known to be vulnerable to XML attacks. Replace etree with the equivalent defusedxml package.,15,"[15, 16]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b410-import-lxml
pyvcloud-19.3.0/pyvcloud/vcd/vdc.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,226,[226],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyvcloud-19.3.0/pyvcloud/vcd/vdc.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,277,"[277, 278]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
pyvcloud-19.3.0/system_tests/idisk_tests.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",263,[263],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyvcloud-19.3.0/system_tests/idisk_tests.py,try_except_pass,B110,LOW,HIGH,"Try, Except, Pass detected.",271,[271],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html
pyvcloud-19.3.0/system_tests/nsxt_tests.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,52,[52],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
