filename,test_name,test_id,issue_severity,issue_confidence,issue_text,line_number,line_range,more_info
bleach-2.0.0/bleach/sanitizer.py,blacklist,B406,LOW,HIGH,"Using unescape to parse untrusted XML data is known to be vulnerable to XML attacks. Replace unescape with the equivalent defusedxml package, or make sure defusedxml.defuse_stdlib() is called.",3,"[3, 4]",https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b406-import-xml-sax
bleach-2.0.0/bleach/sanitizer.py,hardcoded_password_string,B105,LOW,MEDIUM,Possible hardcoded password: 'Comment',262,[262],https://bandit.readthedocs.io/en/latest/plugins/b105_hardcoded_password_string.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,11,[11],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,19,[19],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,24,[24],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,25,[25],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,26,[26],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,27,"[27, 28, 29]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,34,[34],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,35,[35],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,38,[38],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,41,"[41, 42, 43, 44]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,45,"[45, 46, 47]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,51,"[51, 52, 53]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,60,"[60, 61, 62, 63]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,71,[71],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,72,"[72, 73, 74]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,78,"[78, 79, 80, 81]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,82,"[82, 83, 84]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,88,"[88, 89, 90]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,94,"[94, 95, 96, 97]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,98,"[98, 99, 100, 101, 102]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,103,"[103, 104, 105, 106, 107]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,108,"[108, 109, 110]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,115,[115],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,119,[119],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,122,"[122, 123, 124, 125]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,126,"[126, 127, 128, 129, 130, 131]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,133,"[133, 134, 135, 136]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,138,"[138, 139, 140, 141, 142]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,144,"[144, 145, 146]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,154,[154],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,155,[155],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,156,"[156, 157, 158]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,165,[165],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,172,"[172, 173, 174]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,186,"[186, 187, 188]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,198,"[198, 199, 200]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,213,"[213, 214, 215, 216, 217]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,218,"[218, 219, 220, 221]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,231,"[231, 232, 233]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,241,"[241, 242, 243]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,254,"[254, 255, 256, 257, 258, 259]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,265,"[265, 266, 267]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,287,[287],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,305,[305],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,312,[312],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,316,[316],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,321,[321],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,342,"[342, 343, 344]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,352,[352],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_basics.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,362,"[362, 363, 364]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_css.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,74,[74],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_css.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,76,[76],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_css.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,82,"[82, 83, 84, 85]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_css.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,86,"[86, 87, 88]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
bleach-2.0.0/tests/test_css.py,assert_used,B101,LOW,HIGH,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,153,[153],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html
