filename,issue_confidence,issue_severity,issue_text,line_number,line_range,more_info,test_id,test_name
rtv-1.12.0/rtv/content.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,397,[397],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rtv-1.12.0/rtv/objects.py,HIGH,LOW,"Try, Except, Pass detected.",59,[59],https://bandit.readthedocs.io/en/latest/plugins/b110_try_except_pass.html,B110,try_except_pass
rtv-1.12.0/rtv/objects.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,381,"[381, 382]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rtv-1.12.0/rtv/objects.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,439,[439],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rtv-1.12.0/rtv/objects.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,440,"[440, 441, 442, 443]",https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rtv-1.12.0/rtv/objects.py,HIGH,LOW,Use of assert detected. The enclosed code will be removed when compiling to optimised byte code.,489,[489],https://bandit.readthedocs.io/en/latest/plugins/b101_assert_used.html,B101,assert_used
rtv-1.12.0/rtv/terminal.py,HIGH,LOW,Consider possible security implications associated with subprocess module.,11,[11],https://bandit.readthedocs.io/en/latest/blacklists/blacklist_imports.html#b404-import-subprocess,B404,blacklist
rtv-1.12.0/rtv/terminal.py,HIGH,LOW,"Starting a process with a shell: Seems safe, but may be changed in the future, consider rewriting without shell",366,[366],https://bandit.readthedocs.io/en/latest/plugins/b605_start_process_with_a_shell.html,B605,start_process_with_a_shell
rtv-1.12.0/rtv/terminal.py,HIGH,LOW,Starting a process with a partial executable path,366,[366],https://bandit.readthedocs.io/en/latest/plugins/b607_start_process_with_partial_path.html,B607,start_process_with_partial_path
rtv-1.12.0/rtv/terminal.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",369,"[367, 368, 369]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
rtv-1.12.0/rtv/terminal.py,HIGH,HIGH,"subprocess call with shell=True identified, security issue.",384,"[383, 384, 385]",https://bandit.readthedocs.io/en/latest/plugins/b602_subprocess_popen_with_shell_equals_true.html,B602,subprocess_popen_with_shell_equals_true
rtv-1.12.0/rtv/terminal.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,475,[475],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
rtv-1.12.0/rtv/terminal.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,514,[514],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
rtv-1.12.0/rtv/terminal.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,554,[554],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
rtv-1.12.0/rtv/terminal.py,HIGH,LOW,subprocess call - check for execution of untrusted input.,592,[592],https://bandit.readthedocs.io/en/latest/plugins/b603_subprocess_without_shell_equals_true.html,B603,subprocess_without_shell_equals_true
